,Tweet
638,"RT @Helmie_Art: 💕I'm calling the community to play a game together! 

I have created a Relationship Chart template to visualize our favorit…"
639,2022-07-14 11:27:42+00:00
640,@born2burn__ I never thought I'd simp for hashirama and here I am now simping for the first hokage. He's my friends favorite character and I never noticed how handsome hashirama is until I met my new friend at momo con this year. Not to mention hashi is my new comfort character.
641,2022-07-14 10:23:42+00:00
642,"RT @Helmie_Art: 💕I'm calling the community to play a game together! 

I have created a Relationship Chart template to visualize our favorit…"
643,2022-07-14 10:18:52+00:00
644,"RT @Helmie_Art: 💕I'm calling the community to play a game together! 

I have created a Relationship Chart template to visualize our favorit…"
645,2022-07-14 09:46:47+00:00
646,"RT @Helmie_Art: 💕I'm calling the community to play a game together! 

I have created a Relationship Chart template to visualize our favorit…"
647,2022-07-14 09:43:57+00:00
648,"RT @thedaevastator: A very happy birthday to @rclark98 !!

The character you've played in #RDR2 is one of my favorite characters of all tim…"
649,2022-07-14 09:36:21+00:00
650,"RT @Helmie_Art: 💕I'm calling the community to play a game together! 

I have created a Relationship Chart template to visualize our favorit…"
651,2022-07-14 09:10:51+00:00
652,"RT @Helmie_Art: 💕I'm calling the community to play a game together! 

I have created a Relationship Chart template to visualize our favorit…"
653,2022-07-14 08:53:54+00:00
654,"@The_ExtraRare Not a dude, but Penelope's my current favorite character of yours. Wondered if there are there any other friends you've drawn in her world?"
655,2022-07-14 06:26:55+00:00
656,i was like 8 when I saw the phantom of the opera and he fr was mad annoying in that movie. Phantom character gmt but it was my friends favorite movie n I had a crush on her so I was like ok…I guess this lame brooding nigga could sing
657,2022-07-14 06:26:12+00:00
658,I just made the most perfect &amp; impressive french braid I've ever done and nobody will see it because it is a privilege” and for serving as a Christmas present and it’s probably my favorite Friends character.
659,2022-07-14 06:10:15+00:00
